droplet_id,volume,mass,ux,uy,uz,vx,vy,vz
379,6.072096e-18,6.053879e-15,1.411658e-04,-3.741226e-06,5.117232e-04,-7.060432e-01,1.004289e+00,1.429443e+01
385,2.745716e-18,2.737479e-15,1.633102e-04,-1.563111e-05,5.227958e-04,-2.656333e-01,8.152892e-01,1.698168e+01
391,5.049761e-17,5.034612e-14,1.390196e-04,7.384308e-06,5.091614e-04,-1.570229e+00,-1.237635e-01,8.143883e+00
397,2.109631e-18,2.103302e-15,1.710889e-04,-1.406796e-05,5.331400e-04,-1.057781e-01,-4.399530e-02,4.318348e+00
403,3.637636e-18,3.626723e-15,1.468787e-04,1.405849e-05,5.187642e-04,-3.106772e-02,1.952550e-01,3.095195e+00
409,1.157865e-17,1.154392e-14,1.242351e-04,1.879510e-05,4.960942e-04,-1.278356e+00,1.438511e+00,3.951923e+00
421,7.814709e-19,7.791265e-16,1.045539e-04,-6.910220e-06,4.863430e-04,-1.878007e-01,1.152202e-01,2.337267e+00
427,2.617466e-18,2.609614e-15,1.413428e-04,-1.007171e-05,4.922696e-04,-1.041229e+00,1.194600e+00,7.914633e+00
433,3.191899e-17,3.182323e-14,1.394919e-04,-1.619884e-05,4.844438e-04,9.138385e-01,9.755174e-01,4.936423e+00
439,3.117766e-18,3.108412e-15,1.640748e-04,-1.561586e-05,5.122846e-04,-2.479219e-01,4.658995e-01,1.319686e+01
445,1.828379e-17,1.822894e-14,1.587115e-04,8.147000e-06,5.303097e-04,1.140265e-01,-6.182484e-01,8.181390e+00
451,2.475898e-17,2.468470e-14,1.523464e-04,1.916458e-05,5.354594e-04,5.481717e-01,5.117115e-02,7.048564e+00
457,5.809093e-18,5.791665e-15,1.148513e-04,7.697732e-06,4.987755e-04,-2.282594e-01,5.753228e-01,1.071756e+01
463,2.396756e-18,2.389566e-15,1.265555e-04,9.373629e-06,4.976964e-04,-3.380858e-01,-1.240582e-01,3.623816e+00
469,5.554665e-18,5.538001e-15,1.343597e-04,1.252108e-05,5.054515e-04,4.525430e-01,-5.832979e-01,5.768673e+00
475,5.587309e-18,5.570547e-15,1.414310e-04,-7.595069e-07,5.108809e-04,-3.075346e-01,-2.675198e-01,1.033207e+01
481,2.905862e-17,2.897144e-14,1.212244e-04,-7.184823e-06,4.804970e-04,-4.302333e+00,1.334459e+00,5.372007e-02
487,1.136736e-16,1.133326e-13,1.094017e-04,6.120939e-06,4.890800e-04,8.739628e-02,-1.479424e+00,1.094522e+00
493,3.392059e-18,3.381883e-15,1.397409e-04,1.171859e-05,5.048233e-04,-3.377421e-01,4.397324e-01,3.249723e+00
505,5.760743e-18,5.743461e-15,1.414010e-04,-7.819271e-07,5.015401e-04,-7.348837e-02,3.230927e-02,8.801056e+00
511,2.414071e-19,2.406829e-16,1.589909e-04,-1.289012e-05,5.096102e-04,1.119635e-01,-5.150872e-02,4.834409e+00
517,5.204176e-18,5.188563e-15,1.453156e-04,-7.815241e-06,4.918382e-04,-1.723274e-01,5.389670e-02,7.530674e+00
523,9.886770e-19,9.857109e-16,1.321293e-04,-2.460949e-05,4.900839e-04,-4.033057e-02,-2.431591e-01,3.119062e+00
529,1.279954e-17,1.276114e-14,1.359332e-04,-2.425402e-05,4.813036e-04,1.217077e-02,3.549681e-05,1.524094e+00
535,2.341632e-18,2.334607e-15,1.609381e-04,-4.682563e-06,5.212512e-04,-6.216400e-02,1.051827e-01,5.952294e+00
541,9.995326e-18,9.965340e-15,1.632663e-04,4.768790e-06,5.309753e-04,1.230541e+00,-1.749599e-01,6.247858e+00
547,1.362418e-17,1.358331e-14,1.550748e-04,1.206735e-05,5.286493e-04,2.658378e-01,-4.163428e-01,8.069456e+00
553,1.224225e-18,1.220553e-15,1.664075e-04,-7.037812e-06,5.370228e-04,1.136493e-01,-8.119371e-04,6.927680e+00
559,5.682534e-18,5.665486e-15,1.335941e-04,-7.036021e-06,4.874957e-04,5.565942e-01,-7.496605e-01,1.909429e+00
565,4.528399e-18,4.514814e-15,1.239292e-04,2.440611e-06,4.936812e-04,-5.538773e-01,5.039473e-02,1.046999e+01
571,1.713163e-17,1.708024e-14,1.148395e-04,-3.221541e-06,4.839749e-04,4.017460e-01,3.057526e+00,1.046836e+01
